classe,name_img,set
boat dog,2008_001420,train
dog,2008_001430,validation
chair diningtable,2008_001434,train
dog,2008_001436,validation
chair,2008_001439,validation
aeroplane,2008_001448,train
chair diningtable,2008_001451,validation
dog,2008_001456,validation
chair dog,2008_001461,train
horse,2008_001464,train
chair,2008_001467,train
aeroplane,2008_001468,validation
dog,2008_001478,validation
dog,2008_001479,train
chair,2008_001493,train
bird,2008_001495,train
dog,2008_001498,train
chair,2008_001503,validation
bird,2008_001514,validation
boat,2008_001516,validation
bird,2008_001522,validation
chair,2008_001527,validation
boat,2008_001529,train
horse,2008_001542,validation
horse,2008_001544,validation
aeroplane,2008_001546,validation
dog,2008_001550,train
chair,2008_001563,train
boat,2008_001575,validation
boat,2008_001580,validation
chair,2008_001596,validation
sheep,2008_001601,train
chair,2008_001613,validation
chair,2008_001617,train
boat,2008_001620,train
chair,2008_001624,validation
train,2008_001625,validation
chair,2008_001636,validation
chair,2008_001641,train
horse,2008_001645,train
boat,2008_001649,validation
boat,2008_001652,train
cow,2008_001653,train
dog,2008_001660,validation
chair,2008_001666,train
bird chair,2008_001673,train
dog,2008_001676,validation
bird,2008_001679,train
horse,2008_001682,validation
chair,2008_001694,train
chair,2008_001702,validation
dog,2008_001708,train
train,2008_001710,train
chair,2008_001715,validation
aeroplane,2008_001719,train
chair diningtable,2008_001723,validation
horse,2008_001729,train
chair,2008_001737,train
chair,2008_001751,train
diningtable,2008_001758,train
chair,2008_001764,validation
bird,2008_001770,train
chair,2008_001772,validation
chair diningtable,2008_001773,validation
aeroplane,2008_001774,validation
chair,2008_001783,train
dog,2008_001797,train
boat,2008_001799,validation
aeroplane,2008_001801,train
aeroplane,2008_001805,validation
chair diningtable,2008_001809,train
bird,2008_001810,validation
dog,2008_001816,validation
boat,2008_001823,validation
bird,2008_001829,train
chair,2008_001841,validation
boat,2008_001843,validation
boat,2008_001849,train
train,2008_001850,validation
dog,2008_001854,train
bird,2008_001856,train
boat,2008_001858,validation
chair dog,2008_001862,validation
train,2008_001866,train
dog,2008_001871,validation
dog,2008_001872,train
dog,2008_001895,validation
train,2008_001905,validation
chair,2008_001910,validation
dog,2008_001921,train
train,2008_001926,train
chair,2008_001928,validation
horse,2008_001934,validation
boat,2008_001945,validation
train,2008_001956,train
dog,2008_001965,validation
bird,2008_001966,validation
boat,2008_001970,train
aeroplane,2008_001971,validation
boat,2008_001977,train
bird,2008_001978,validation
aeroplane,2008_001985,validation
boat,2008_001987,validation
horse,2008_001992,validation
chair,2008_001997,train
aeroplane,2008_002000,train
dog,2008_002003,validation
chair,2008_002026,validation
diningtable,2008_002032,train
dog,2008_002033,train
dog,2008_002036,validation
dog,2008_002037,validation
bird,2008_002043,validation
boat,2008_002046,validation
sheep,2008_002061,train
bird,2008_002064,train
chair,2008_002071,validation
bird,2008_002073,train
diningtable,2008_002079,train
chair,2008_002082,validation
dog,2008_002084,validation
dog,2008_002096,train
chair,2008_002112,train
chair diningtable,2008_002114,validation
dog,2008_002116,train
chair,2008_002119,train
boat,2008_002131,train
aeroplane,2008_002138,validation
chair,2008_002148,train
bird sheep,2008_002150,train
aeroplane,2008_002151,validation
train,2008_002158,validation
dog,2008_002160,train
horse,2008_002172,validation
chair,2008_002175,train
train,2008_002193,validation
boat,2008_002194,validation
aeroplane,2008_002195,train
bird,2008_002200,train
bird,2008_002207,validation
bird,2008_002208,train
chair,2008_002218,train
aeroplane,2008_002221,train
train,2008_002222,validation
dog,2008_002227,train
dog,2008_002239,validation
boat,2008_002250,validation
bird,2008_002255,train
dog,2008_002267,validation
cow,2008_002270,train
cow,2008_002278,train
train,2008_002279,train
boat,2008_002281,train
chair,2008_002288,train
dog,2008_002304,train
dog,2008_002307,train
chair,2008_002311,train
dog,2008_002317,train
train,2008_002325,train
boat,2008_002335,train
horse,2008_002338,train
sheep,2008_002343,train
train,2008_002344,train
bird,2008_002349,validation
bird,2008_002350,train
aeroplane,2008_002358,validation
dog,2008_002359,validation
diningtable,2008_002362,train
bird,2008_002369,train
chair,2008_002379,validation
chair diningtable,2008_002384,validation
bird,2008_002389,train
dog,2008_002395,validation
bird,2008_002399,train
chair,2008_002403,validation
dog,2008_002408,validation
horse,2008_002411,train
boat,2008_002422,train
bird,2008_002429,validation
dog sheep,2008_002430,validation
dog,2008_002436,validation
chair,2008_002438,validation
dog,2008_002441,train
chair dog,2008_002442,train
chair,2008_002448,train
train,2008_002452,validation
aeroplane,2008_002454,validation
train,2008_002457,train
horse,2008_002459,train
train,2008_002465,train
bird,2008_002471,train
chair,2008_002481,validation
boat,2008_002482,train
chair,2008_002485,validation
boat,2008_002492,validation
dog,2008_002494,validation
chair,2008_002502,validation
boat,2008_002504,validation
chair diningtable,2008_002508,validation
horse,2008_002509,validation
chair,2008_002521,validation
dog sheep,2008_002536,validation
aeroplane,2008_002551,train
diningtable,2008_002567,validation
dog,2008_002574,train
dog,2008_002584,train
horse,2008_002589,validation
dog,2008_002598,validation
chair,2008_002601,train
boat dog,2008_002610,validation
dog,2008_002612,train
chair,2008_002613,train
dog,2008_002621,train
bird,2008_002624,validation
boat,2008_002625,train
dog,2008_002638,train
bird,2008_002647,train
chair,2008_002649,train
horse,2008_002665,train
horse,2008_002666,train
aeroplane,2008_002673,validation
chair,2008_002674,train
chair,2008_002676,train
bird,2008_002684,validation
cow horse,2008_002686,train
dog,2008_002687,validation
horse,2008_002697,train
aeroplane,2008_002698,train
cow,2008_002709,validation
aeroplane,2008_002719,train
cow,2008_002732,validation
chair,2008_002758,train
horse,2008_002762,train
dog,2008_002767,train
aeroplane boat,2008_002773,validation
chair,2008_002776,train
cow,2008_002778,validation
bird,2008_002784,train
chair,2008_002795,validation
horse,2008_002806,validation
dog,2008_002814,validation
horse,2008_002835,validation
bird,2008_002847,validation
boat,2008_002850,train
dog,2008_002859,validation
horse,2008_002860,validation
horse,2008_002866,train
chair,2008_002869,validation
chair,2008_002885,train
boat,2008_002887,train
chair diningtable,2008_002892,train
train,2008_002900,validation
chair diningtable,2008_002903,train
dog,2008_002904,validation
dog,2008_002913,train
chair,2008_002920,validation
dog,2008_002936,validation
dog,2008_002958,validation
bird,2008_002961,train
train,2008_002965,validation
boat,2008_002966,train
bird,2008_002970,train
aeroplane,2008_002977,train
bird,2008_002983,train
dog,2008_002985,train
dog,2008_002992,validation
horse,2008_002993,train
horse,2008_003018,train
horse,2008_003020,validation
bird,2008_003023,train
train,2008_003025,train
aeroplane,2008_003033,train
aeroplane,2008_003041,train
horse,2008_003043,train
bird,2008_003049,train
horse,2008_003055,validation
aeroplane,2008_003059,train
boat,2008_003062,validation
cow,2008_003065,train
train,2008_003068,train
chair,2008_003073,validation
boat,2008_003081,train
train,2008_003083,train
bird,2008_003087,train
chair,2008_003093,train
cow,2008_003094,train
boat,2008_003100,validation
dog,2008_003101,train
train,2008_003105,validation
bird,2008_003106,validation
bird,2008_003110,validation
boat,2008_003112,train
dog,2008_003133,validation
chair,2008_003136,validation
chair,2008_003146,train
sheep,2008_003147,train
aeroplane,2008_003155,validation
bird,2008_003160,train
bird,2008_003161,validation
chair,2008_003168,train
bird,2008_003170,validation
chair,2008_003178,validation
dog,2008_003180,train
horse,2008_003182,train
boat,2008_003187,validation
aeroplane,2008_003189,validation
aeroplane,2008_003196,train
bird,2008_003211,validation
bird,2008_003222,validation
diningtable,2008_003224,train
bird,2008_003232,validation
dog,2008_003238,validation
horse,2008_003242,train
chair diningtable,2008_003245,validation
chair,2008_003252,train
cow,2008_003256,validation
aeroplane,2008_003261,train
train,2008_003263,validation
chair diningtable,2008_003264,train
chair,2008_003265,train
dog horse,2008_003272,train
aeroplane boat,2008_003275,train
dog,2008_003276,train
chair,2008_003280,validation
horse,2008_003283,train
dog,2008_003286,validation
chair,2008_003290,train
bird,2008_003291,validation
cow,2008_003297,train
boat,2008_003313,train
horse,2008_003316,validation
horse,2008_003326,validation
dog,2008_003331,validation
horse,2008_003344,validation
dog,2008_003347,train
chair,2008_003351,validation
bird,2008_003360,train
boat,2008_003362,train
aeroplane,2008_003369,validation
dog,2008_003374,validation
chair,2008_003378,train
horse,2008_003379,validation
horse,2008_003380,train
bird,2008_003382,validation
boat,2008_003402,validation
chair,2008_003407,validation
train,2008_003414,train
dog,2008_003417,train
aeroplane,2008_003423,validation
bird,2008_003426,train
chair,2008_003432,validation
bird,2008_003439,validation
chair,2008_003442,validation
dog,2008_003443,validation
horse,2008_003447,train
chair,2008_003448,train
boat,2008_003449,validation
boat,2008_003458,train
horse,2008_003461,validation
bird,2008_003462,train
chair,2008_003472,validation
aeroplane,2008_003475,validation
diningtable,2008_003477,validation
aeroplane,2008_003478,train
boat,2008_003480,train
bird,2008_003484,validation
bird,2008_003485,train
dog,2008_003497,train
chair,2008_003501,train
chair,2008_003504,train
dog,2008_003511,validation
dog,2008_003520,train
dog,2008_003521,train
bird,2008_003524,validation
diningtable,2008_003534,train
chair,2008_003547,validation
chair,2008_003559,train
train,2008_003571,train
dog,2008_003572,validation
aeroplane,2008_003575,train
dog,2008_003576,validation
train,2008_003578,train
bird,2008_003580,validation
dog,2008_003587,train
horse,2008_003596,train
dog,2008_003607,validation
chair,2008_003629,train
dog,2008_003645,train
boat,2008_003652,train
aeroplane,2008_003655,train
dog,2008_003665,train
chair,2008_003667,train
aeroplane,2008_003673,validation
horse,2008_003677,train
chair,2008_003681,validation
bird,2008_003683,validation
aeroplane,2008_003688,train
chair,2008_003689,train
bird,2008_003694,validation
boat,2008_003701,train
aeroplane,2008_003703,train
dog,2008_003718,validation
chair,2008_003726,train
aeroplane,2008_003729,train
train,2008_003737,validation
aeroplane,2008_003743,validation
aeroplane,2008_003744,validation
dog,2008_003746,train
chair diningtable,2008_003753,validation
dog,2008_003755,validation
chair,2008_003762,train
bird,2008_003763,validation
chair diningtable,2008_003774,train
dog,2008_003776,train
horse,2008_003782,validation
aeroplane,2008_003788,train
bird,2008_003789,validation
chair diningtable,2008_003796,train
dog,2008_003799,validation
horse,2008_003800,validation
dog,2008_003801,validation
horse,2008_003802,train
horse,2008_003805,validation
chair,2008_003821,validation
train,2008_003826,validation
bird,2008_003831,train
chair dog,2008_003838,validation
boat,2008_003840,validation
boat,2008_003849,train
dog,2008_003852,train
boat,2008_003858,validation
boat,2008_003870,train
aeroplane,2008_003876,validation
chair diningtable,2008_003881,validation
boat,2008_003886,validation
dog,2008_003888,train
bird,2008_003894,validation
chair diningtable,2008_003904,validation
aeroplane,2008_003905,validation
boat,2008_003913,train
chair,2008_003914,train
dog,2008_003922,train
aeroplane,2008_003926,validation
bird,2008_003942,train
dog,2008_003944,validation
boat,2008_003951,validation
chair,2008_003967,train
dog,2008_003975,train
aeroplane,2008_003976,validation
dog,2008_003978,train
boat,2008_003988,validation
boat,2008_003989,validation
train,2008_003992,train
bird,2008_003997,validation
chair,2008_003998,train
aeroplane,2008_004000,train
chair,2008_004003,validation
sheep,2008_004007,validation
chair,2008_004008,train
boat,2008_004014,train
dog,2008_004015,validation
dog,2008_004021,train
bird,2008_004024,train
boat,2008_004026,train
bird,2008_004027,validation
aeroplane,2008_004030,validation
bird,2008_004042,train
dog,2008_004044,train
boat,2008_004053,train
chair,2008_004054,validation
dog,2008_004058,validation
chair,2008_004071,validation
bird,2008_004075,validation
chair,2008_004077,train
bird,2008_004087,train
aeroplane,2008_004100,train
bird,2008_004103,validation
bird,2008_004105,validation
dog,2008_004106,train
train,2008_004110,train
dog,2008_004121,validation
chair dog,2008_004122,train
boat chair,2008_004124,validation
horse,2008_004125,validation
aeroplane,2008_004138,train
diningtable,2008_004140,validation
bird,2008_004147,train
aeroplane,2008_004165,train
horse,2008_004166,validation
dog,2008_004174,validation
horse,2008_004175,validation
dog,2008_004188,validation
aeroplane,2008_004190,validation
horse,2008_004195,train
chair,2008_004208,train
train,2008_004212,validation
train,2008_004214,validation
diningtable,2008_004216,validation
dog,2008_004218,train
bird,2008_004234,validation
train,2008_004235,train
aeroplane,2008_004239,train
boat,2008_004242,validation
bird chair,2008_004251,validation
dog,2008_004265,train
dog,2008_004273,validation
bird,2008_004276,train
chair,2008_004280,train
dog,2008_004284,train
chair diningtable,2008_004289,validation
boat,2008_004291,train
sheep,2008_004292,validation
diningtable dog,2008_004293,train
bird,2008_004296,train
chair dog,2008_004297,validation
dog,2008_004306,validation
chair,2008_004313,train
bird,2008_004317,validation
dog,2008_004319,train
chair diningtable,2008_004321,train
dog,2008_004324,validation
chair,2008_004344,validation
aeroplane,2008_004348,validation
horse,2008_004354,validation
train,2008_004357,validation
train,2008_004358,train
bird,2008_004362,train
train,2008_004367,validation
chair,2008_004372,train
aeroplane,2008_004378,train
bird chair,2008_004384,validation
bird,2008_004385,train
cow,2008_004394,validation
horse,2008_004396,validation
dog,2008_004402,validation
aeroplane,2008_004406,validation
chair,2008_004408,validation
dog,2008_004410,train
chair,2008_004412,train
bird,2008_004425,validation
dog,2008_004427,validation
horse,2008_004430,train
aeroplane,2008_004433,validation
chair,2008_004435,train
boat,2008_004443,train
chair,2008_004445,validation
cow,2008_004450,train
bird,2008_004452,train
sheep,2008_004453,validation
chair diningtable,2008_004457,train
chair,2008_004460,validation
boat,2008_004469,validation
horse,2008_004470,validation
horse,2008_004476,validation
dog,2008_004480,train
chair,2008_004487,validation
chair,2008_004490,train
chair,2008_004492,train
dog,2008_004498,validation
dog,2008_004505,train
chair,2008_004506,train
dog,2008_004515,train
bird,2008_004520,validation
dog,2008_004525,validation
dog,2008_004528,validation
aeroplane,2008_004532,train
horse,2008_004533,validation
horse,2008_004539,train
horse,2008_004545,train
horse,2008_004546,validation
train,2008_004547,train
bird,2008_004551,train
chair,2008_004553,validation
chair diningtable,2008_004564,validation
boat,2008_004570,train
chair,2008_004579,validation
horse,2008_004584,train
chair,2008_004585,train
diningtable,2008_004588,train
bird,2008_004589,validation
dog,2008_004590,train
chair,2008_004592,validation
boat,2008_004593,train
aeroplane,2008_004605,validation
train,2008_004610,validation
chair,2008_004612,validation
chair,2008_004619,validation
bird,2008_004620,train
sheep,2008_004621,validation
horse,2008_004624,validation
sheep,2008_004629,train
aeroplane,2008_004630,validation
aeroplane,2008_004631,train
chair,2008_004632,validation
bird,2008_004633,validation
boat,2008_004636,train
aeroplane,2008_004646,validation
dog,2008_004647,validation
aeroplane,2008_004648,train
horse,2008_004649,train
dog,2008_004653,validation
chair diningtable,2008_004661,train
dog,2008_004662,validation
train,2008_004663,train
chair,2008_004665,validation
chair,2008_004670,validation
bird,2008_004671,train
horse,2008_004687,validation
bird,2008_004689,validation
bird,2008_004690,train
dog,2008_004695,validation
horse,2008_004696,validation
chair,2008_004697,train
cow,2008_004701,validation
dog,2008_004702,validation
aeroplane,2008_004704,validation
horse,2008_004705,validation
boat,2008_004716,validation
boat,2008_004718,validation
chair,2008_004720,validation
dog,2008_004722,validation
aeroplane,2008_004726,validation
bird,2008_004730,validation
aeroplane,2008_004739,train
bird,2008_004742,validation
dog,2008_004745,validation
boat,2008_004750,train
dog,2008_004752,train
dog,2008_004760,validation
bird dog,2008_004763,train
horse,2008_004764,train
bird,2008_004766,validation
dog,2008_004768,validation
train,2008_004770,train
aeroplane,2008_004771,validation
dog,2008_004774,validation
chair diningtable,2008_004776,train
chair,2008_004777,train
chair,2008_004778,validation
bird,2008_004783,train
aeroplane,2008_004802,train
dog,2008_004804,train
bird,2008_004805,validation
bird,2008_004808,train
boat,2008_004812,validation
aeroplane,2008_004819,validation
dog,2008_004821,train
bird,2008_004825,validation
cow,2008_004827,train
dog,2008_004833,validation
chair diningtable,2008_004834,train
bird,2008_004837,validation
cow,2008_004841,train
dog,2008_004845,train
aeroplane,2008_004847,train
diningtable,2008_004851,validation
train,2008_004852,validation
sheep,2008_004854,validation
horse,2008_004868,train
train,2008_004869,train
chair,2008_004874,train
aeroplane,2008_004885,validation
horse,2008_004892,train
bird,2008_004893,train
chair,2008_004896,validation
aeroplane,2008_004899,train
dog,2008_004900,validation
boat,2008_004904,validation
boat,2008_004907,validation
horse,2008_004911,train
train,2008_004914,train
aeroplane,2008_004917,train
boat,2008_004920,train
boat,2008_004921,validation
dog,2008_004931,train
aeroplane,2008_004935,validation
bird,2008_004942,validation
train,2008_004946,train
diningtable,2008_004948,validation
dog,2008_004950,train
chair,2008_004964,train
boat,2008_004969,train
bird,2008_004973,train
dog,2008_004975,validation
diningtable,2008_004979,validation
aeroplane,2008_004981,train
boat,2008_004983,train
chair,2008_004984,validation
chair,2008_004985,train
dog,2008_004986,validation
dog,2008_004998,train
cow,2008_005010,validation
dog,2008_005015,validation
dog,2008_005016,train
aeroplane,2008_005036,train
chair,2008_005037,validation
boat,2008_005043,validation
dog,2008_005046,validation
dog,2008_005051,train
aeroplane,2008_005057,validation
boat,2008_005063,validation
dog,2008_005065,validation
chair,2008_005066,train
chair,2008_005068,validation
chair diningtable,2008_005070,validation
boat,2008_005071,train
aeroplane,2008_005078,train
bird,2008_005080,train
chair diningtable,2008_005081,train
dog,2008_005082,train
dog,2008_005084,train
train,2008_005085,validation
bird,2008_005092,validation
bird,2008_005096,validation
cow,2008_005097,validation
dog,2008_005101,train
cow,2008_005105,validation
chair,2008_005107,validation
boat,2008_005108,train
chair dog,2008_005111,validation
aeroplane,2008_005114,validation
bird,2008_005115,train
boat,2008_005117,validation
dog,2008_005123,validation
boat,2008_005132,train
chair,2008_005136,train
dog,2008_005137,train
chair,2008_005146,train
chair diningtable,2008_005150,train
boat,2008_005156,validation
dog,2008_005160,validation
horse,2008_005166,validation
chair dog,2008_005167,validation
horse,2008_005168,train
dog,2008_005174,train
dog,2008_005178,train
dog,2008_005181,validation
bird,2008_005182,validation
train,2008_005185,validation
bird,2008_005186,train
chair,2008_005191,validation
dog,2008_005194,validation
dog,2008_005197,validation
chair,2008_005205,validation
bird,2008_005208,validation
bird,2008_005209,train
horse,2008_005215,validation
dog,2008_005221,train
bird,2008_005233,validation
dog,2008_005240,train
boat,2008_005244,validation
chair,2008_005248,train
aeroplane,2008_005250,train
aeroplane,2008_005253,validation
chair diningtable,2008_005257,validation
bird,2008_005260,validation
boat,2008_005261,validation
train,2008_005269,train
dog,2008_005272,validation
bird,2008_005279,train
train,2008_005282,validation
bird,2008_005296,train
bird,2008_005303,train
horse,2008_005304,validation
aeroplane,2008_005310,train
horse,2008_005313,validation
boat,2008_005315,train
horse,2008_005319,validation
boat,2008_005321,train
chair,2008_005323,validation
horse,2008_005327,validation
dog,2008_005333,train
dog,2008_005335,validation
dog,2008_005336,train
aeroplane,2008_005338,validation
chair diningtable,2008_005342,train
dog,2008_005346,validation
chair diningtable,2008_005348,validation
train,2008_005354,train
bird,2008_005357,train
boat,2008_005359,validation
dog,2008_005361,validation
aeroplane,2008_005362,train
dog,2008_005363,train
horse,2008_005365,train
boat,2008_005367,train
horse,2008_005369,validation
aeroplane,2008_005373,validation
cow,2008_005375,train
dog,2008_005379,validation
dog,2008_005382,train
train,2008_005389,train
horse,2008_005396,train
boat,2008_005398,validation
bird,2008_005400,train
dog,2008_005406,validation
horse,2008_005408,train
chair,2008_005414,train
dog,2008_005415,train
chair,2008_005417,validation
horse,2008_005431,validation
dog,2008_005436,validation
aeroplane,2008_005443,train
train,2008_005446,validation
sheep,2008_005447,validation
dog,2008_005451,train
aeroplane,2008_005455,validation
chair,2008_005456,train
bird,2008_005465,train
dog,2008_005467,validation
horse,2008_005473,train
bird,2008_005477,train
horse,2008_005485,validation
aeroplane,2008_005491,train
sheep,2008_005494,train
horse,2008_005498,validation
horse,2008_005501,validation
boat,2008_005502,train
boat,2008_005504,validation
sheep,2008_005505,train
bird,2008_005507,train
boat,2008_005512,train
dog,2008_005514,train
boat,2008_005517,train
chair,2008_005519,train
bird,2008_005521,train
bird,2008_005522,validation
horse,2008_005525,validation
boat,2008_005526,train
dog,2008_005527,train
boat,2008_005530,validation
bird,2008_005531,train
bird,2008_005534,validation
boat,2008_005536,train
aeroplane,2008_005538,validation
boat,2008_005541,train
train,2008_005544,validation
chair,2008_005549,train
chair,2008_005552,validation
horse,2008_005558,train
chair,2008_005561,train
dog,2008_005563,validation
dog,2008_005564,validation
chair diningtable,2008_005570,train
aeroplane,2008_005573,validation
chair,2008_005574,validation
horse,2008_005582,validation
bird,2008_005584,train
horse,2008_005589,train
dog,2008_005591,train
boat,2008_005593,train
bird dog,2008_005601,validation
chair diningtable,2008_005608,validation
boat,2008_005610,train
aeroplane,2008_005611,validation
chair,2008_005616,train
bird,2008_005618,train
bird,2008_005626,train
boat,2008_005628,validation
aeroplane,2008_005631,validation
sheep,2008_005633,validation
aeroplane,2008_005634,train
sheep,2008_005635,validation
horse,2008_005642,validation
dog,2008_005643,validation
bird,2008_005649,validation
dog,2008_005652,validation
train,2008_005653,train
dog,2008_005656,train
boat,2008_005664,validation
horse,2008_005668,train
dog,2008_005679,train
cow,2008_005681,validation
horse,2008_005682,train
boat,2008_005683,train
aeroplane,2008_005685,validation
bird,2008_005687,validation
horse,2008_005691,validation
boat,2008_005695,validation
chair,2008_005698,train
horse,2008_005702,validation
dog,2008_005703,validation
horse,2008_005705,train
sheep,2008_005706,train
cow,2008_005714,train
aeroplane,2008_005719,train
boat,2008_005720,validation
bird,2008_005724,train
horse,2008_005726,validation
dog,2008_005728,train
bird,2008_005734,validation
sheep,2008_005736,train
chair,2008_005739,train
train,2008_005742,train
dog,2008_005748,validation
aeroplane,2008_005750,validation
bird,2008_005757,train
train,2008_005763,validation
boat,2008_005764,validation
chair,2008_005767,train
bird,2008_005774,validation
horse,2008_005791,train
horse,2008_005792,validation
chair,2008_005794,train
aeroplane chair,2008_005796,validation
dog,2008_005798,validation
dog,2008_005800,train
train,2008_005801,validation
bird,2008_005803,train
bird,2008_005810,train
horse,2008_005818,train
bird,2008_005821,validation
dog,2008_005823,train
train,2008_005825,validation
dog,2008_005831,validation
aeroplane,2008_005834,train
dog,2008_005838,validation
bird,2008_005843,train
dog,2008_005845,train
chair,2008_005848,validation
dog,2008_005850,train
boat,2008_005855,train
