name_img set classe
ntii_sgb_1271083_624x544 validation " horse"
ntiii_cal_290351_624x544 test " horse"
pka_pkc_2_173_624x544 test " boat"
lse_dpg_dpg073_624x544 validation " horse"
nti_trr_337061_624x544 test " horse"
nti_ant_353127_624x544 test " horse"
ntiv_clpk_1441513_624x544 train " horse"
va_pc_2007bp0848_624x544 train " horse"
esx_am_332_624x544 train " horse"
ntiii_erh_201464_624x544 train " horse"
ntiii_cal_290477_624x544 train " cow"
esx_am_417_624x544 train " horse"
lan_astl_1922_53_624x544 test " horse"
wmr_rcs_rcssc_p_286_624x544 validation " bird"
ntii_fcc_631059_624x544 test " dog"
ntiv_poly_1246537_624x544 train " horse"
ss_elc_10722_000_624x544 test " horse"
ny_yag_yorag_45_624x544 test " horse"
iwm_iwm_3073_624x544 test " aeroplane"
lw_ctha_9_624x544 test " boat"
nwm_cotc_pcf6_624x544 test " boat"
nmm_nmmg_bhc1252_624x544 test " boat"
nml_warg_wag_2302_624x544 validation " horse"
ci_rjah_11_624x544 test " cow"
nts_broe_73_93_624x544 test " sheep"
ng_ng_ng823_624x544 test " bird boat cow"
ng_ng_ng2547_624x544 validation " cow"
glw_cbca_1976_151_624x544 train " cow"
ntiii_kedh_108928_624x544 train " sheep"
ng_ng_ng53_624x544 test " cow dog horse sheep"
lsw_rbgm_mn_cd3_282_624x544 test " bird"
tate_tate_n01627_10_624x544 test " chair diningtable"
ntii_sgb_1271105_624x544 test " cow"
stc_inv_1977_526_624x544 train " horse"
dur_b_1972_261_624x544 test " horse"
war_warms_11_624x544 validation " dog horse"
nlw_nlw_gcf06198_624x544 test " dog horse"
gl_gm_627_624x544 train " horse"
glw_cbca_1963_177_624x544 test " horse"
ntii_lyp_500009_624x544 train " horse"
esx_am_457_624x544 train " horse"
hrt_busmt_2004_108_2_624x544 train " horse"
ng_ng_ng2554_624x544 train " horse"
ntiii_ick_851849_624x544 train " horse"
ntiii_wall_584497_624x544 test " horse"
llr_lcnug_1927_911_624x544 test " horse"
ng_ng_ng4927_624x544 train " horse"
brm_bifa_54_7_624x544 test " horse"
esx_am_449_624x544 test " horse"
dur_dbm_762_624x544 train " horse"
es_rag_unk_5_624x544 test " horse"
gmiii_mcag_1963_297_624x544 validation " horse"
dun_dagm_18_1912_624x544 validation " horse"
llr_lams_l_f34_1953_0_0_624x544 test " horse"
ery_horn_2009_4_624x544 test " horse"
esx_am_477_624x544 train " horse"
gmiii_mcag_1963_296_624x544 train " dog horse"
ng_ng_ng822_624x544 train " bird cow dog horse"
dby_bxmag_dersb_3794_624x544 test " horse"
llr_lecc_l_f151_1957_0_0_624x544 train " horse"
llr_lecc_l_f20_1935_16_3_624x544 test " horse"
llr_lecc_l_f20_1935_16_4_624x544 train " horse"
llr_lecc_l_f8_1958_0_0_624x544 train " dog horse"
ng_ng_ng2145_624x544 validation " dog"
ng_ng_ng1096_624x544 test " dog"
nti_ant_353123_624x544 train " horse"
nml_warg_wag_2311_624x544 train " horse"
ci_rjah_9_624x544 train " cow"
sw_tomt_popms_1982_74_3_624x544 validation " horse"
ntiv_fent_10425_624x544 train " dog"
war_comp_36_624x544 test " horse"
ntiv_hart_1548008_624x544 train " bird"
ng_ng_ng670_624x544 train " diningtable"
dur_dbm_1078_624x544 train " horse"
wyl_lmg_043_06_624x544 train " dog"
va_pc_2007bp0860_624x544 test " diningtable"
ng_ng_ng845_624x544 test " chair"
ny_yag_yorag_485_624x544 test " chair"
gmiii_mcag_1979_475_624x544 test " dog"
gmiii_mcag_1979_481_624x544 test " dog"
ng_ng_ng844_624x544 train " chair diningtable dog"
bbo_hwm_80_624x544 train " bird"
dur_dbm_283_624x544 train " dog"
glw_thon_tbydm_08_007_1_624x544 test " dog"
ng_ng_ng6600_624x544 train " boat dog"
ng_ng_ng1344_624x544 validation " dog horse"
ng_ng_ng883_624x544 train " dog sheep"
ng_ng_ng2572_624x544 train " cow sheep"
ng_ng_ng1345_624x544 test " bird boat dog horse"
ng_ng_ng971_624x544 train " dog"
ng_ng_ng2283_624x544 test " boat cow dog"
ng_ng_ng1342_624x544 train " boat"
ntiv_hamh_1140179_624x544 test " sheep"
ng_ng_ng2532_624x544 test " sheep"
ntiv_hamh_1140174_624x544 train " sheep"
cw_mte_1_624x544 validation " cow sheep"
ng_ng_ng849_624x544 test " cow horse sheep"
ny_yag_yorag_135_624x544 train " horse"
not_ncmg_1948_41_624x544 train " cow"
nti_obk_1413432_624x544 train " boat"
esx_am_187_624x544 test " horse"
llr_lcnug_1988_29_624x544 train " cow"
ny_rtc_th_001_624x544 train " horse"
bbo_merl_m_22_624x544 test " cow"
ntiv_chah_1430497_624x544 train " cow"
va_pc_2006aj5061_624x544 test " boat"
acc_acc_ac_622_624x544 train " chair diningtable"
ntii_uph_446728_624x544 test " diningtable"
ntiii_cal_290301_1_624x544 test " diningtable"
stf_walg_p344_76_624x544 test " cow sheep"
lse_dpg_dpg037_624x544 test " cow"
lse_dpg_dpg342_624x544 train " horse"
ntii_fcc_631125_624x544 test " horse"
ny_yag_yorag_355_624x544 test " chair"
llr_nelms_a_153_624x544 test " boat"
ntiii_fel_d1615_624x544 test " dog"
gl_gm_1455_624x544 train " horse"
mer_sec_pcf_63_624x544 train " dog"
gmiii_mcag_1978_261_624x544 train " dog"
nti_kla_1257213_624x544 train " horse"
ng_ng_ng3881_624x544 train " bird"
ntiv_monh_768431_624x544 train " horse"
ery_bagg_pcf512_624x544 test " horse"
iom_mnh_1991_0167_624x544 test " boat"
va_pc_2006bd7883_624x544 test " boat"
war_comp_4_624x544 test " horse"
iwm_iwm_ld_3530_624x544 test " aeroplane"
ntii_dnms_932343_624x544 test " dog"
nti_mph_724321_624x544 train " cow"
dev_ndmm_2002_77_624x544 train " boat"
ng_ng_ng1278_624x544 test " diningtable"
wlc_wlc_p192_624x544 train " diningtable"
ny_yag_yorag_502_624x544 test " chair"
war_comp_40_624x544 train " dog"
ny_yag_yorag_375_624x544 test " cow"
ny_ppa_060_624x544 train " boat"
nti_pnw_171498_624x544 test " diningtable"
ntiii_ang_515519_5_624x544 train " diningtable"
ny_yag_yorag_32_624x544 train " boat"
es_brhm_bpv_001091_624x544 test " boat"
ny_yag_yorag_459_624x544 test " chair"
ntiv_hamh_1140020_624x544 train " cow"
nmm_nmmg_bhc1568_624x544 test " boat"
lw_narm_1014116_624x544 train " horse"
sw_bhac_js3054_624x544 train " boat"
llr_lams_l_f20_1935_11_0_624x544 validation " diningtable"
shef_msh_vis_960_624x544 test " dog"
llr_lams_l_f7_1892_0_0_624x544 test " diningtable dog"
abd_aag_ag009637_624x544 train " chair"
abd_aag_abdag002249_624x544 train " boat"
abd_aag_abdag003660_624x544 validation " boat"
nml_warg_wag_8636_624x544 test " dog horse"
ntii_att_609104_624x544 train " horse"
acnmw_acnmw_da000308_624x544 train " bird"
ng_ng_ng1074_624x544 train " diningtable"
ntii_ard_247860_624x544 train " bird"
tate_tate_t06488_10_624x544 train " bird"
kt_ccmg_roy_241_21a_624x544 train " cow dog"
ntiv_asct_43341_624x544 train " sheep"
cdn_well_l_27950_624x544 train " diningtable"
cdn_well_v_17128_624x544 test " dog"
ny_yag_yorag_2001_42_624x544 test " horse"
abd_aag_ag002357_624x544 validation " bird"
cw_phg_pezph_2004_63_624x544 test " chair diningtable"
wmrii_bbco_1739_624x544 test " bird"
stf_wag_op191_624x544 train " dog"
ntiii_ang_515721_2_624x544 train " cow"
nti_tyd_27420_624x544 train " diningtable"
cw_fag_famag_1000_5_624x544 test " boat"
gl_gm_35_271_624x544 train " horse"
es_chl_009_07_624x544 train " horse"
stf_wag_op348_624x544 train " chair diningtable"
acc_acc_ac_3070_624x544 train " diningtable"
ntiii_cal_290473_624x544 train " cow"
nti_pca_2900009_624x544 train " cow"
nti_pca_2900008_624x544 test " cow"
nti_pca_2900003_624x544 test " cow"
nti_pca_2900005_624x544 validation " cow"
nti_pca_2900006_624x544 train " cow"
nti_pca_2900007_624x544 train " cow"
nti_pca_2900004_624x544 train " cow"
ntiii_cal_290471_624x544 train " sheep"
ntiii_cal_290295_624x544 test " cow"
acc_acc_acc10_1990_624x544 validation " bird train"
cw_fag_famag_2006_17_3_624x544 test " chair"
stf_wag_op271_624x544 test " sheep"
sfk_sph_pg_ln_18_624x544 validation " cow"
llr_lams_l_f20_1935_1_1_624x544 train " dog"
llr_lams_l_f20_1935_14_0_624x544 validation " boat"
ntii_fcc_631072_2_624x544 train " boat"
glw_ttco_pcf13_624x544 test " horse"
lne_hmcc_ch1996_19_624x544 test " boat"
ntiv_poly_29952_624x544 train " boat"
nmm_nmmg_bhc1201_624x544 test " boat"
not_ncmg_1904_17_624x544 test " boat"
ntiii_gun_637651_624x544 train " boat"
kt_mmb_b_mai_44989_624x544 test " sheep"
cuii_cocc_iii_624x544 train " horse"
kt_ccmg_roy_039_018_624x544 test " horse"
ntiii_cal_290296_624x544 validation " horse"
dur_dbm_426_624x544 test " boat"
cw_mte_12_624x544 train " boat"
lw_narm_1013665_624x544 train " horse"
llr_lams_l_f8_1953_7_0_624x544 train " dog"
gmii_sahs_1899_96_624x544 test " horse"
ntiii_cas_494935_624x544 test " dog"
ntiii_wim_207920_624x544 validation " horse"
ntii_mns_1221344_624x544 train " horse"
ntiii_nost_959471_2_624x544 train " horse"
tate_tate_n03386_10_624x544 train " boat"
va_pc_2006bh7403_624x544 train " boat"
va_pc_2006bh7572_624x544 test " boat"
dev_ndmm_2002_86_624x544 test " boat"
nmm_nmmg_bhc1138_624x544 train " boat"
acnmw_acnmw_da000660_624x544 test " boat"
ery_fg_2005_4802_624x544 train " boat"
lan_fyld_36_624x544 train " dog"
lan_town_burgm_paoil72_624x544 validation " dog"
ny_yfh_nt1984_040_624x544 test " chair diningtable"
ny_yag_yorag_1179_624x544 validation " chair"
ny_mag_harag_241_624x544 train " boat"
ntiii_nost_959523_624x544 test " diningtable"
ny_yag_yorag_2001_40_624x544 test " boat"
ntiv_pet_25787_624x544 test " boat"
ntiii_kedh_108884_624x544 test " boat"
dur_dbm_219_624x544 train " horse"
llr_lams_l_f1_1890_0_0_624x544 train " sheep"
nmm_nmmg_bhc0820_624x544 test " boat"
ntiii_cal_290472_624x544 test " sheep"
nti_edg_1151422_624x544 test " sheep"
glw_mip_1967_119_1_624x544 test " sheep"
wyr_bmgh_1906_034_624x544 test " sheep"
es_brhm_bpv_006_03_624x544 train " sheep"
nti_lln_461455_624x544 test " sheep"
not_ncmg_1944_32_624x544 validation " diningtable"
nts_brod_2010_1882_624x544 test " sheep"
nts_brod_2009_542_624x544 train " sheep"
ntiii_belt_436013_624x544 train " sheep"
ntiii_nost_960240_624x544 test " sheep"
nfk_ncm_nwhcm_1991_1_34_624x544 test " sheep"
nmm_nmmg_bhc1120_624x544 test " boat"
ntii_gch_445527_624x544 test " boat"
cw_fag_famag_1000_8_624x544 train " boat"
cw_fag_famag_1000_14_624x544 validation " boat"
nmm_nmmg_bhc1569_624x544 train " boat"
lan_town_burgm_paoil234_2_624x544 validation " cow"
bbo_merl_m_24_624x544 test " cow"
bbo_merl_m_28_624x544 test " cow"
bbo_merl_m_35_624x544 test " cow"
bbo_merl_m_26_624x544 validation " cow"
nti_tyd_21092_624x544 test " diningtable"
ntii_spr_216422_624x544 test " horse"
abd_aag_ag009575_624x544 test " train"
lw_ecsh_j920011_624x544 validation " dog"
ntiii_ang_515536_624x544 test " dog"
acc_acc_acc160_1998_624x544 train " horse"
ny_yag_yorag_1042_624x544 train " boat"
nts_mar_98_212_624x544 train " dog"
ny_ppa_035_624x544 test " chair"
cw_rcm_truri_1927_68_624x544 test " horse"
ny_yfh_nt1984_011_624x544 test " diningtable"
ny_yfh_nt1984_016_624x544 train " bird diningtable"
nti_edg_1151295_624x544 train " dog"
col_gag_3710_624x544 train " diningtable"
lne_hmcc_ch1996_14_624x544 test " boat"
esx_am_394_624x544 train " horse"
ntiv_chaw_1102559_624x544 test " chair"
nml_llg_ll_3718_624x544 test " sheep"
esx_am_634_624x544 train " horse"
cw_rcm_truri_1946_119_624x544 validation " boat"
cw_rcm_truri_1928_51_624x544 test " boat"
ntii_twe_478841_624x544 test " sheep"
gl_gm_22_624x544 test " dog"
nmm_nmmg_bhc1174_624x544 train " boat"
ny_yag_yorag_201_624x544 validation " dog sheep"
nti_sto_732220_624x544 train " horse"
nwm_oym_2_99_624x544 train " horse"
va_pc_2006ag3584_624x544 train " horse"
abd_aag_ag002221_624x544 train " bird dog"
nmm_nmmg_bhc1175_624x544 train " boat"
sw_ccitc_ccc_pcf87_624x544 train " boat"
ss_sab_t_at_3367_624x544 test " horse"
ntii_ccp_533872_624x544 train " dog"
cw_rcm_truri_1914_7_624x544 train " diningtable dog"
edi_hse_trh_004_624x544 train " boat"
ntii_uph_446719_624x544 test " bird"
iwm_iwm_ld_1561_624x544 test " aeroplane"
ntii_lyp_500453_624x544 test " sheep"
ntiii_kedh_108921_624x544 train " bird"
ntiv_chah_pcf34_624x544 validation " diningtable"
llr_lams_l_f2_1907_0_0_624x544 train " chair"
ny_yag_yorag_698_624x544 train " chair"
lne_rafm_fa03021_624x544 test " aeroplane"
ny_yag_yorag_194_624x544 train " boat"
bcn_elym_1999_091_624x544 test " horse"
esx_am_52_624x544 test " sheep"
lsw_croy_m_1993_229_624x544 test " sheep"
llr_lcnug_1995_6_624x544 test " horse"
llr_lcnug_1976_14_624x544 test " dog"
cw_mte_28_624x544 train " boat"
cw_mte_36_624x544 test " dog"
cw_phg_nelng_1995_1_624x544 test " boat"
nti_tyd_21144_624x544 test " sheep"
ny_mnc_setcl_nc_02_02_624x544 test " horse"
cw_mte_29_624x544 train " boat"
ny_ccmm_10218_624x544 test " boat"
lw_narm_1993_11_43_1_624x544 test " horse"
nfk_ncm_nwhcm_1951_235_1304_624x544 test " sheep"
ntii_uph_446660_624x544 train " horse"
not_ncmg_1904_92_624x544 test " diningtable"
war_leamg_192_624x544 train " chair diningtable"
ny_ppa_112_624x544 train " chair diningtable dog"
ny_nrm_1977_5818_624x544 test " chair"
wlc_wlc_p260_624x544 test " horse"
ptb_plm_plyme_p23_624x544 validation " boat"
war_leamg_66_624x544 test " bird horse sheep"
nts_gnh_75_206_624x544 test " bird"
nti_tyd_28390_624x544 test " dog"
dur_dbm_2007_6_624x544 test " dog"
ntiii_ang_515520_7_624x544 train " dog"
nti_pyr_648436_624x544 test " horse"
ng_ng_ng881_624x544 test " horse"
llr_lams_l_f36_1990_0_0_624x544 test " horse"
nti_dph_1439061_624x544 train " horse"
ng_ng_ng1009_624x544 test " horse"
ntiii_ang_515723_2_624x544 test " horse sheep"
sry_elm_16_1986_48_624x544 test " horse"
ntiii_kedh_108913_624x544 test " sheep"
ntiii_wim_207810_624x544 test " dog"
abd_aag_ag004430_624x544 train " bird dog"
esx_am_424_624x544 train " bird"
esx_am_295_624x544 test " bird"
ntiii_ang_515518_6_624x544 train " dog"
gl_gm_99_624x544 test " sheep"
war_nmag_29_624x544 validation " chair diningtable"
ng_ng_ng838_624x544 test " diningtable"
ash_ashm_wa1851_21_624x544 test " diningtable"
nts_hdun_88_133_2_624x544 test " horse"
cdn_well_581877i_624x544 validation " dog"
stc_inv_1992_18_624x544 test " dog"
nts_brod_2009_541_624x544 train " sheep"
ng_ng_ng828_624x544 test " sheep"
lse_dpg_dpg048_624x544 test " cow"
sfk_ccm_r_1960_186_624x544 train " dog"
gac_gac_13166_624x544 test " dog"
nti_kla_1257188_624x544 train " cow"
ntii_fcc_631130_624x544 train " horse"
ntii_gyf_443611_624x544 train " horse"
nti_kla_1257193_624x544 test " dog"
ntiv_wadd_551_1_624x544 train " bird"
nml_llg_ll_3708_624x544 validation " cow"
kt_mmb_30_019_624x544 train " horse"
bbo_merl_m_44_624x544 test " dog"
va_pc_2007bp0935_624x544 test " bird"
tate_tate_n02425_10_624x544 test " boat"
nwm_bu_ol00061_624x544 train " boat"
ntiii_nunh_980583_b_624x544 train " horse"
es_brhm_brm_000004_624x544 test " dog"
gmiii_mcag_1928_89_624x544 validation " diningtable"
